('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         801995 function calls (778808 primitive calls) in 1.888 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  158/155    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      158    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      157    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      157    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      151    0.000    0.000    0.000    0.000 enum.py:1292(value)
      146    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
  142/137    0.000    0.000    0.003    0.000 css_parser.py:395(freeze)
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
      140    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      140    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      140    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      137    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      136    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
      135    0.000    0.000    0.006    0.000 _parser.py:98(closegroup)
      135    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
    133/1    0.001    0.000    1.888    1.888 {built-in method builtins.exec}
  133/115    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
      132    0.002    0.000    0.320    0.002 {method 'read' of '_io.BufferedReader' objects}
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      132    0.000    0.000    0.003    0.000 typing.py:1242(__init__)
      131    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      131    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
      131    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
      131    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      131    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      131    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    131/4    0.000    0.000    0.210    0.052 <frozen importlib._bootstrap_external>:989(exec_module)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
      131    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      130    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      126    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
      126    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      125    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
      119    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      116    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      114    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      114    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      111    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      105    0.001    0.000    0.003    0.000 _compiler.py:467(_get_charset_prefix)
      103    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       98    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       96    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
       93    0.002    0.000    0.002    0.000 {method 'decode' of 'bytes' objects}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
    87/85    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       86    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       86    0.000    0.000    0.001    0.000 typing_extensions.py:3177(_collect_parameters)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       86    0.000    0.000    0.000    0.000 typing_extensions.py:3092(_has_generic_or_protocol_as_origin)
    86/61    0.000    0.000    0.003    0.000 typing.py:508(__getitem__)
       85    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       79    0.000    0.000    0.004    0.000 css_parser.py:472(parse_attribute_selector)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       77    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
       73    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
    71/51    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
       71    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       71    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       69    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       68    0.000    0.000    0.000    0.000 typing_extensions.py:3114(_is_unpacked_typevartuple)
       64    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       64    0.000    0.000    0.001    0.000 typing.py:885(__init__)
       63    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       63    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       62    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
       61    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
       61    0.000    0.000    0.003    0.000 typing.py:687(Union)
    60/39    0.000    0.000    0.098    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       59    0.000    0.000    0.001    0.000 _htmlparser.py:127(handle_startendtag)
       57    0.000    0.000    0.000    0.000 element.py:2280(__eq__)
       57    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
       57    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
    56/16    0.001    0.000    0.013    0.001 css_parser.py:925(parse_selectors)
       55    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       54    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       53    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       53    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
       52    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
       50    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
       50    0.000    0.000    0.001    0.000 ipaddress.py:1920(__init__)
