('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         836723 function calls (812451 primitive calls) in 7.613 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      166    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     3823    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      200    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
    193/4    0.001    0.000    0.245    0.061 <frozen importlib._bootstrap>:911(_load_unlocked)
      867    0.001    0.000    0.001    0.000 typing.py:1188(__setattr__)
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     1440    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
      193    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    446/8    0.001    0.000    0.244    0.031 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1005    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     2585    0.001    0.000    0.002    0.000 css_parser.py:317(match)
       79    0.000    0.000    0.004    0.000 css_parser.py:472(parse_attribute_selector)
     2389    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      190    0.000    0.000    0.068    0.000 _parser.py:969(parse)
     3411    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     1769    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
      136    0.000    0.000    0.002    0.000 typing.py:1242(__init__)
     3216    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
       21    0.000    0.000    0.566    0.027 __init__.py:1(<module>)
       20    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     5526    0.000    0.000    0.000    0.000 element.py:2227(__bool__)
      621    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       82    0.000    0.000    0.231    0.003 response.py:1202(read_chunked)
     1005    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      332    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      166    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
     1244    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
       12    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      101    0.000    0.000    1.421    0.014 {method 'readline' of '_io.BufferedReader' objects}
     1466    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
     3046    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
    166/4    0.000    0.000    0.245    0.061 <frozen importlib._bootstrap_external>:989(exec_module)
      359    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      944    0.000    0.000    0.001    0.000 typing.py:1134(_is_dunder)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       80    0.000    0.000    0.216    0.003 response.py:1180(_handle_chunk)
      499    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      621    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        8    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       62    0.000    0.000    0.003    0.000 typing.py:687(Union)
      498    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
  142/137    0.000    0.000    0.003    0.000 css_parser.py:395(freeze)
      504    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      190    0.000    0.000    0.042    0.000 _compiler.py:573(_code)
      190    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1611(_BaseV6)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
       87    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      989    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
  193/189    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
       28    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
      871    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
  758/701    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
  212/176    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        2    0.000    0.000    0.001    0.000 feedparser.py:469(_parse_headers)
        1    0.000    0.000    7.367    7.367 financial.py:6(get_info)
       10    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      209    0.000    0.000    0.001    0.000 filter.py:616(_attribute_match)
      126    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      743    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      100    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      175    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       82    0.000    0.000    0.000    0.000 response.py:1162(_update_chunk_length)
      499    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
       77    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
     1099    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       53    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      220    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
       23    0.000    0.000    0.002    0.000 enum.py:528(__new__)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      325    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       48    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
       50    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
     1246    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      623    0.000    0.000    0.000    0.000 socket.py:732(readable)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       83    0.000    0.000    0.001    0.000 typing_extensions.py:3177(_collect_parameters)
  167/164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        1    0.000    0.000    7.613    7.613 financial.py:1(<module>)
      664    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1099    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       51    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
      122    0.000    0.000    0.216    0.002 client.py:633(_safe_read)
      176    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      414    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      739    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      309    0.000    0.000    0.115    0.000 __init__.py:226(compile)
      425    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        2    0.000    0.000    2.124    1.062 sessions.py:673(send)
       16    0.000    0.000    0.000    0.000 message.py:494(get)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      619    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        2    0.000    0.000    0.047    0.023 client.py:213(_read_headers)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
       80    0.000    0.000    0.014    0.000 response.py:494(_decode)
      271    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      126    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
      218    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       54    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
      221    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       52    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      325    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
       15    0.000    0.000    0.001    0.000 <frozen _collections_abc>:974(update)
      140    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
       83    0.000    0.000    0.000    0.000 typing_extensions.py:3092(_has_generic_or_protocol_as_origin)
       82    0.000    0.000    0.232    0.003 models.py:816(generate)
      520    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      300    0.000    0.000    0.000    0.000 filter.py:627(_match_attribute_value_helper)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
