('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         836748 function calls (812480 primitive calls) in 2.739 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      630    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      668    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      325    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
       57    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       77    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
    80/47    0.000    0.000    0.133    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      533    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      296    0.000    0.000    0.000    0.000 element.py:2168(get)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      190    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.299    0.299 connection.py:718(connect)
        1    0.000    0.000    0.001    0.001 idna.py:1(<module>)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
    44/32    0.000    0.000    0.010    0.000 css_parser.py:579(parse_pseudo_class)
       60    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
       62    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      176    0.000    0.000    0.006    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
        1    0.000    0.000    0.007    0.007 ssl.py:1(<module>)
       21    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
      117    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
       83    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
        1    0.000    0.000    0.001    0.001 hashlib.py:1(<module>)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        7    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
       45    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      146    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
        2    0.000    0.000    0.000    0.000 client.py:1136(putrequest)
        1    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
      519    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
    30/17    0.000    0.000    0.156    0.009 {built-in method builtins.__import__}
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
      106    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
      168    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        1    0.000    0.000    0.053    0.053 css_parser.py:1(<module>)
        2    0.000    0.000    0.000    0.000 request.py:199(body_to_chunks)
