('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         802143 function calls (778958 primitive calls) in 1.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      439    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
  142/137    0.000    0.000    0.003    0.000 css_parser.py:395(freeze)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      162    0.000    0.000    0.041    0.000 _compiler.py:573(_code)
      209    0.000    0.000    0.001    0.000 filter.py:616(_attribute_match)
       28    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
  758/701    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
  185/152    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      126    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      712    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      925    0.000    0.000    0.000    0.000 socket.py:732(readable)
  158/155    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      690    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      393    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       69    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       85    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      353    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
       23    0.000    0.000    0.002    0.000 enum.py:528(__new__)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       96    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      439    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      427    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      929    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       53    0.000    0.000    0.002    0.000 typing.py:1449(__getitem__)
     1658    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      524    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      140    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       47    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      325    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      895    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      140    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      324    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       86    0.000    0.000    0.001    0.000 typing_extensions.py:3177(_collect_parameters)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      126    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
       50    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      300    0.000    0.000    0.000    0.000 filter.py:627(_match_attribute_value_helper)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
     1850    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      181    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.049    0.049 dammit.py:1(<module>)
      318    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      926    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
       86    0.000    0.000    0.000    0.000 typing_extensions.py:3092(_has_generic_or_protocol_as_origin)
      136    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
       61    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      161    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      135    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      531    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      895    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      339    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      179    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       52    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      207    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      502    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      254    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      317    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      599    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      303    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
      668    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
       10    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      162    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        1    0.000    0.000    0.006    0.006 ssl.py:1(<module>)
      255    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
